gene,C1B1,C1B2,C1B3,C1B4,C1B5,C1B6,C1B7,C1B8,C1B9,C1B10,C1B11,C2B2,C2B3,C2B4,C2B5
K00241,-0.164319402,0.089284679,-0.109598401,-0.466229377,0.12524502,-0.454767274,0.464407888,0.554028936,-0.566141618,-0.201765067,-0.310162492,-0.670118678,-0.663220979,-0.142409203,-1.057602946
K00242,1.238726541,1.755146129,1.335193433,0.687126781,1.66524943,0.822665481,0.7795861,0.75282561,-0.313823353,0.970160249,0.361866271,-0.178429813,-2.023011236,0.580608464,-0.710386345
K00244,-0.870407619,-0.905685185,-0.960671984,-1.351943518,-2.194862772,-2.096800942,-1.531068023,-1.144274079,-1.702036805,-0.837870009,-0.487160082,-1.967883276,-0.965383014,-0.66586572,1.394867368
K00245,-0.775412572,-0.255232937,-0.795448225,-1.195609288,-0.353845406,-1.146854081,-1.662396471,-1.160530043,-1.483479982,-1.429525122,-0.291350969,-1.822623356,-2.169333798,-1.37892525,-1.601751251
K00247,-1.564340232,-1.593168725,-0.670150235,-1.854350151,-1.863138137,-2.748666688,-1.173853021,-3.185922187,-1.921525387,-1.29571362,-1.101434187,-5.430482667,-1.880034316,-2.995571889,-0.758014599
K01902,0.109389092,0.566205815,0.382389626,-0.131394598,0.289908164,0.064855698,0.135307455,0.311719259,0.228144696,-0.015198218,-0.001198956,-0.194282581,-0.222949291,-0.210679286,-1.596786045
K01903,-0.079124685,0.104697015,-0.169240177,-0.573654654,-0.154216603,-0.489143844,-0.203127167,-0.027498694,-0.153513108,-0.08530556,-0.197513166,-0.142328489,-0.797533076,-0.509729504,-1.394590285
K00174,-1.099641418,-0.796423514,-1.019236502,-1.348790031,-0.752862974,-1.462451631,-1.722944088,-1.0486526,-2.099646523,-0.750102567,-0.822822126,-2.068987619,-1.262330208,-0.742463927,-1.029362763
K00175,-1.348902346,-1.004222526,-1.17431542,-1.572657248,-0.78831029,-1.554201765,-1.740237569,-1.173088796,-2.107606263,-0.900281243,-0.957362496,-1.807472968,-1.267270103,-0.872801748,-0.926544808
K00031,-0.484013561,-0.891692652,-0.819283092,-0.784307759,-0.804350158,-0.875085333,0.202646744,0.047086262,-0.37416431,-0.742957696,-0.694768903,-0.726108176,-1.435092407,-0.328148357,-1.085572253
K01681,-1.153779185,-1.136276161,-1.026140871,-1.404920137,-0.777091859,-1.534000082,-1.781117643,-1.156079216,-2.099753434,-0.739990613,-0.817693876,-2.000418156,-1.589665384,-0.797866121,-1.47689529
K01682,1.080665096,0.95767268,0.96052753,1.115073489,0.723198942,1.391800315,2.120242336,1.858313601,1.966976535,0.963729294,0.777581043,1.847254678,0.625043316,0.858727309,1.10701209
K15230,2.779799132,1.771256336,3.042331843,2.917516146,2.214139574,1.893248313,4.909560242,4.908880636,3.545836779,2.197974822,1.749793542,3.209907412,1.552264213,1.161691437,2.745625633
K15231,2.150461607,1.743615934,2.501997295,2.539777535,1.801938185,1.780549555,4.805329001,4.753520243,3.613151121,1.838471259,1.684798656,5.016673127,2.297895167,1.402712242,2.387863359
