Var1,Var2,div,fun,var1bot,var2bot,Distance,group
C1B7F2,C1B8F1,0.484222947,0.275674587,C1B7,C1B8,-190,Upstream
C1B7F1,C1B8F1,0.445239311,0.268457262,C1B7,C1B8,-190,Upstream
C1B7F1,C1B7F3,0.42357696,0.332250226,C1B7,C1B7,0,Vent
C1B7F2,C1B7F3,0.461912625,0.321652405,C1B7,C1B7,0,Vent
C1B7F1,C1B7F2,0.481166707,0.220380891,C1B7,C1B7,0,Vent
C1B8F1,C1B8F3,0.407803289,0.305352811,C1B8,C1B8,0,Vent
C1B8F1,C1B8F2,0.384095861,0.255771176,C1B8,C1B8,0,Vent
C1B8F2,C1B8F3,0.380705527,0.220793284,C1B8,C1B8,0,Vent
C1B8F2,C1B9F3,0.519944266,0.460208608,C1B8,C1B9,215,Downstream
C1B8F3,C1B9F3,0.532579596,0.456354597,C1B8,C1B9,215,Downstream
C1B8F1,C1B9F3,0.540473459,0.438495022,C1B8,C1B9,215,Downstream
C1B8F3,C1B9F2,0.440506424,0.435885905,C1B8,C1B9,215,Downstream
C1B8F2,C1B9F2,0.426573655,0.435594747,C1B8,C1B9,215,Downstream
C1B8F3,C1B9F1,0.424875389,0.419563078,C1B8,C1B9,215,Downstream
C1B8F2,C1B9F1,0.40710437,0.410270434,C1B8,C1B9,215,Downstream
C1B8F1,C1B9F2,0.443012823,0.407697487,C1B8,C1B9,215,Downstream
C1B8F1,C1B9F1,0.430801613,0.378147718,C1B8,C1B9,215,Downstream
C1B8F2,C2B2F1,0.387836847,0.690247335,C1B8,C2B2,380,Downstream
C1B8F3,C2B2F1,0.410333953,0.677942664,C1B8,C2B2,380,Downstream
C1B8F1,C2B2F1,0.422332567,0.667127643,C1B8,C2B2,380,Downstream
C1B8F3,C2B2F3,0.445368378,0.552113908,C1B8,C2B2,380,Downstream
C1B8F3,C2B2F2,0.493653124,0.540140904,C1B8,C2B2,380,Downstream
C1B8F2,C2B2F3,0.433361335,0.538587508,C1B8,C2B2,380,Downstream
C1B8F2,C2B2F2,0.483196057,0.525648917,C1B8,C2B2,380,Downstream
C1B8F1,C2B2F3,0.46143718,0.484031898,C1B8,C2B2,380,Downstream
C1B8F1,C2B2F2,0.509880466,0.472779207,C1B8,C2B2,380,Downstream
C1B7F3,C1B9F3,0.529272268,0.469434706,C1B7,C1B9,405,Downstream
C1B7F3,C1B9F2,0.449920684,0.454177549,C1B7,C1B9,405,Downstream
C1B7F3,C1B9F1,0.415130723,0.443143911,C1B7,C1B9,405,Downstream
C1B7F1,C1B9F3,0.446934471,0.376759561,C1B7,C1B9,405,Downstream
C1B7F2,C1B9F3,0.569988186,0.37027582,C1B7,C1B9,405,Downstream
C1B7F2,C1B9F1,0.491263218,0.356973082,C1B7,C1B9,405,Downstream
C1B7F1,C1B9F2,0.480141435,0.353866149,C1B7,C1B9,405,Downstream
C1B7F2,C1B9F2,0.508390974,0.352486522,C1B7,C1B9,405,Downstream
C1B7F1,C1B9F1,0.390860582,0.328156869,C1B7,C1B9,405,Downstream
C1B10F3,C1B8F3,0.416309443,0.41092478,C1B10,C1B8,412,Downstream
C1B10F1,C1B8F3,0.427153222,0.409665405,C1B10,C1B8,412,Downstream
C1B10F1,C1B8F2,0.408521155,0.394759504,C1B10,C1B8,412,Downstream
C1B10F2,C1B8F3,0.429542381,0.382799951,C1B10,C1B8,412,Downstream
C1B10F3,C1B8F2,0.395815906,0.381230269,C1B10,C1B8,412,Downstream
C1B10F2,C1B8F2,0.398373626,0.363887002,C1B10,C1B8,412,Downstream
C1B10F1,C1B8F1,0.429298623,0.35841205,C1B10,C1B8,412,Downstream
C1B10F3,C1B8F1,0.415761512,0.340549592,C1B10,C1B8,412,Downstream
C1B10F2,C1B8F1,0.429437201,0.334683767,C1B10,C1B8,412,Downstream
C1B11F3,C1B8F2,0.407083539,0.535223192,C1B11,C1B8,412,Downstream
C1B11F3,C1B8F3,0.429044345,0.535020969,C1B11,C1B8,454,Downstream
C1B11F3,C1B8F1,0.442491955,0.506248901,C1B11,C1B8,454,Downstream
C1B11F2,C1B8F3,0.425079809,0.377684121,C1B11,C1B8,454,Downstream
C1B11F1,C1B8F3,0.43026604,0.370753037,C1B11,C1B8,454,Downstream
C1B11F2,C1B8F2,0.412164392,0.35554893,C1B11,C1B8,454,Downstream
C1B11F1,C1B8F1,0.429002426,0.351437371,C1B11,C1B8,454,Downstream
C1B11F1,C1B8F2,0.410570888,0.329112106,C1B11,C1B8,454,Downstream
C1B11F2,C1B8F1,0.43621586,0.321176376,C1B11,C1B8,454,Downstream
C1B7F3,C2B2F1,0.407099625,0.674181066,C1B7,C2B2,570,Downstream
C1B7F1,C2B2F1,0.42848295,0.645175829,C1B7,C2B2,570,Downstream
C1B7F2,C2B2F1,0.484262129,0.63840544,C1B7,C2B2,570,Downstream
C1B7F3,C2B2F2,0.494054346,0.553441117,C1B7,C2B2,570,Downstream
C1B7F3,C2B2F3,0.445926083,0.549652165,C1B7,C2B2,570,Downstream
C1B7F2,C2B2F3,0.499212747,0.480712341,C1B7,C2B2,570,Downstream
C1B7F1,C2B2F3,0.388586604,0.479745014,C1B7,C2B2,570,Downstream
C1B7F2,C2B2F2,0.543595778,0.474813687,C1B7,C2B2,570,Downstream
C1B7F1,C2B2F2,0.419750069,0.473336752,C1B7,C2B2,570,Downstream
C1B8F3,C2B3F3,0.446725225,0.688826177,C1B8,C2B3,595,Downstream
C1B8F2,C2B3F3,0.437695841,0.684575792,C1B8,C2B3,595,Downstream
C1B8F1,C2B3F3,0.458557842,0.665297582,C1B8,C2B3,595,Downstream
C1B8F3,C2B3F1,0.415738591,0.521721745,C1B8,C2B3,595,Downstream
C1B8F3,C2B3F2,0.433369107,0.514175739,C1B8,C2B3,595,Downstream
C1B8F2,C2B3F1,0.399706285,0.492527431,C1B8,C2B3,595,Downstream
C1B8F2,C2B3F2,0.417692075,0.485061646,C1B8,C2B3,595,Downstream
C1B8F1,C2B3F1,0.429414345,0.438285583,C1B8,C2B3,595,Downstream
C1B8F1,C2B3F2,0.436970789,0.422506144,C1B8,C2B3,595,Downstream
C1B10F3,C1B7F3,0.410083834,0.435944619,C1B10,C1B7,602,Downstream
C1B10F1,C1B7F3,0.420228865,0.42726142,C1B10,C1B7,602,Downstream
C1B10F2,C1B7F3,0.409674591,0.384928497,C1B10,C1B7,602,Downstream
C1B10F3,C1B7F2,0.486760617,0.380452142,C1B10,C1B7,602,Downstream
C1B10F3,C1B7F1,0.434528877,0.374703525,C1B10,C1B7,602,Downstream
C1B10F2,C1B7F1,0.432386736,0.369682351,C1B10,C1B7,602,Downstream
C1B10F2,C1B7F2,0.483969808,0.358728518,C1B10,C1B7,602,Downstream
C1B10F1,C1B7F1,0.435799608,0.351721581,C1B10,C1B7,602,Downstream
C1B10F1,C1B7F2,0.490200034,0.335920446,C1B10,C1B7,602,Downstream
C1B11F3,C1B7F3,0.429009162,0.527897932,C1B11,C1B7,644,Downstream
C1B11F3,C1B7F1,0.445767441,0.496408579,C1B11,C1B7,644,Downstream
