gene,C1B1,C1B2,C1B3,C1B4,C1B5,C1B6,C1B7,C1B8,C1B9,C1B10,C1B11,C2B2,C2B3,C2B4,C2B5
K01679,0.862464076,0.667412347,0.505729383,0.268256657,0.692558891,0.047203377,0.183076513,0.574646176,0.002135729,0.390039608,0.594323731,0.003596687,0.157802349,0.961840834,0.062942273
K00239,0.906295172,0.433340082,0.73315173,0.629217591,0.490741616,0.344405716,0.661706257,0.340838558,0.076110055,0.930526671,0.918443132,0.308506508,0.027846329,0.42102025,0.002999207
K00240,0.31195792,0.951531532,0.768136924,0.208460354,0.896964024,0.040484048,0.972457588,0.270325795,0.019075311,0.455286355,0.705586152,0.016071061,0.000497236,0.056332738,0.129859642
K00241,0.777613132,0.86492127,0.860580645,0.318838126,0.809276003,0.285927534,0.291792982,0.193568389,0.144760627,0.685323399,0.610178145,0.098315823,0.123939173,0.849392504,0.01410856
K00242,0.359012771,0.139640198,0.355924954,0.625415702,0.177194124,0.501224807,0.557624208,0.584064998,0.779048147,0.485278148,0.849591545,0.888519239,0.12052935,0.771000697,0.660770116
K00244,0.245719338,0.200236824,0.24834414,0.066561689,0.00215658,0.001515469,0.038808883,0.092652374,0.004200978,0.268740931,0.625936694,0.002401531,0.172790588,0.475441644,0.032815709
K00245,0.26243092,0.724392101,0.307065453,0.08793301,0.650821621,0.064420815,0.02044219,0.064923177,0.007113122,0.027321699,0.761442426,0.002657775,0.000372986,0.044505211,0.020611936
K00247,0,0.463486976,0,0.432993128,0.437934517,0.190939348,0,0.143399297,0.296772448,0.583975126,0.718273063,0.011493277,0.396720773,0,0.758042825
K01902,0.896228598,0.376905286,0.632678471,0.856312731,0.676363229,0.919849726,0.839838632,0.635654895,0.680005787,0.987498699,1,0.73988689,0.73962768,0.837103782,0.007115853
K01903,0.882985298,0.81467886,0.744844831,0.148331981,0.726999336,0.177615312,0.629171258,0.955848618,0.659683636,0.862690375,0.72554005,0.698928614,0.025597323,0.258999808,0.000114413
K00174,1.04817E-05,0.00246975,0.000482579,6.01153E-08,0.005454062,9.63007E-10,8.80761E-12,2.33903E-05,1.57324E-20,0.006378921,0.003916575,1.91226E-18,2.26363E-07,0.008412193,5.88356E-05
K00175,1.22146E-09,1.57455E-05,7.46823E-06,1.54707E-11,0.001693229,3.66288E-12,1.07924E-12,2.3038E-07,5.91609E-24,0.000210907,0.000165743,5.82063E-16,1.96807E-08,0.000352976,0.000140732
K00031,0.388936401,0.05992897,0.15339414,0.111212739,0.097704468,0.049456755,0.693761353,0.940505214,0.406538123,0.143428148,0.212542007,0.104380841,0.001200175,0.651266021,0.018362838
K01681,0.000193613,0.000264116,0.00523773,4.60329E-06,0.020586929,1.79961E-07,8.28969E-09,0.000150173,3.91945E-14,0.030160938,0.023819138,4.25005E-12,7.38207E-08,0.023989426,1.39715E-06
K01682,5.40873E-09,4.88174E-07,8.88665E-06,5.10515E-09,0.000466836,1.29403E-14,7.99795E-32,2.85435E-26,1.94064E-30,5.28101E-07,0.000284573,1.02673E-25,0.002203363,1.35079E-05,8.85933E-09
K15230,1.2177E-05,0.009938015,1.55352E-05,6.51263E-06,0.001471839,0.004955563,1.14851E-16,4.06074E-17,1.81397E-09,0.001468869,0.029050748,1.51153E-07,0.027534186,0.179910612,2.9607E-05
K15231,0.005584726,0.028338397,0.003422066,0.001118891,0.030791616,0.02130377,2.18842E-12,1.65504E-12,9.88578E-08,0.026008895,0.071105853,4.38101E-14,0.002825405,0.14153988,0.002195388
