ASV59,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,JL-ETNP-F27,Planctomycetota
ASV60,Bacteria,Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade)_cl,Marinimicrobia_(SAR406_clade)_or,Marinimicrobia_(SAR406_clade)_fa,Marinimicrobia_(SAR406_clade)_ge,Marinimicrobia_(SAR406_clade)
ASV61,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Arctic97B-4_marine_group,Arctic97B-4_marine_group_fa,Arctic97B-4_marine_group_ge,Verrucomicrobiota
ASV62,Archaea,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Thermoplasmatota
ASV63,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_I_unclassified,Alphaproteobacteria
ASV64,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmata_or,Thermoplasmata_fa,Marine_Group_III,Thermoplasmatota_Marine_Group_III
ASV65,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaeria_unclassified,Nitrososphaeria_unclassified,Nitrososphaeria_unclassified,Crenarchaeota_Nitrososphaeria
ASV66,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus_Nitrosopumilus,Crenarchaeota_Nitrososphaeria
ASV67,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_I_unclassified,Alphaproteobacteria
ASV68,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmata_or,Thermoplasmata_fa,Marine_Group_III,Thermoplasmatota_Marine_Group_III
ASV69,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudohongiellaceae,Pseudohongiella,Gammaproteobacteria
ASV70,Archaea,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Thermoplasmatota
ASV71,Bacteria,Chloroflexi,Dehalococcoidia,SAR202_clade,SAR202_clade_fa,SAR202_clade_ge,Chloroflexi
ASV72,Bacteria,Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade)_cl,Marinimicrobia_(SAR406_clade)_or,Marinimicrobia_(SAR406_clade)_fa,Marinimicrobia_(SAR406_clade)_ge,Marinimicrobia_(SAR406_clade)
ASV73,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilaceae_unclassified,Crenarchaeota_Nitrososphaeria
ASV74,Bacteria,Chloroflexi,Dehalococcoidia,SAR202_clade,SAR202_clade_fa,SAR202_clade_ge,Chloroflexi
ASV75,Archaea,Crenarchaeota,Nitrososphaeria,Marine_Benthic_Group_A,Marine_Benthic_Group_A_fa,Marine_Benthic_Group_A_ge,Crenarchaeota_Marine_Benthic_Group_A
ASV76,Bacteria,Chloroflexi,Dehalococcoidia,SAR202_clade,SAR202_clade_fa,SAR202_clade_ge,Chloroflexi
ASV77,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilaceae_ge,Crenarchaeota_Nitrososphaeria
ASV78,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmata_or,Thermoplasmata_fa,Marine_Group_III,Thermoplasmatota_Marine_Group_III
ASV79,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_I_unclassified,Alphaproteobacteria
ASV80,unknown,unknown,unknown,unknown,unknown,unknown,Nanoarchaeota
ASV81,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Milano-WF1B-03,Gammaproteobacteria
ASV82,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_II,Clade_II_ge,Alphaproteobacteria
ASV83,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilaceae_ge,Crenarchaeota_Nitrososphaeria
ASV84,Bacteria,Proteobacteria,Gammaproteobacteria,UBA10353_marine_group,UBA10353_marine_group_fa,UBA10353_marine_group_ge,Gammaproteobacteria
ASV85,Bacteria,Chloroflexi,Dehalococcoidia,SAR202_clade,SAR202_clade_fa,SAR202_clade_ge,Chloroflexi
ASV86,Bacteria,Proteobacteria,Gammaproteobacteria,UBA10353_marine_group,UBA10353_marine_group_fa,UBA10353_marine_group_ge,Gammaproteobacteria
ASV87,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilaceae_ge,Crenarchaeota_Nitrososphaeria
ASV88,Bacteria,Chloroflexi,Dehalococcoidia,SAR202_clade,SAR202_clade_fa,SAR202_clade_ge,Chloroflexi
ASV89,Bacteria,Planctomycetota,Pla3_lineage,Pla3_lineage_or,Pla3_lineage_fa,Pla3_lineage_ge,Planctomycetota
ASV90,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,uncultured,uncultured_ge,Acidobacteriota
ASV91,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_II,Clade_II_ge,Alphaproteobacteria
ASV92,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,SAR11_clade_unclassified,SAR11_clade_unclassified,Alphaproteobacteria
ASV93,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellulaceae_unclassified,Planctomycetota
ASV94,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,LS-NOB,Nitrospinota
ASV95,Archaea,Thermoplasmatota,Thermoplasmata,Marine_Group_II,Marine_Group_II_fa,Marine_Group_II_ge,Thermoplasmatota_Marine_Group_II
ASV96,Bacteria,SAR324_clade_(Marine_group_B),SAR324_clade_(Marine_group_B)_cl,SAR324_clade_(Marine_group_B)_or,SAR324_clade_(Marine_group_B)_fa,SAR324_clade_(Marine_group_B)_ge,SAR324-Marine-group-B
ASV97,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria
ASV98,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,Nitrospina,Nitrospinota
ASV99,Archaea,Thermoplasmatota,Thermoplasmata,Marine_Group_II,Marine_Group_II_fa,Marine_Group_II_ge,Thermoplasmatota_Marine_Group_II
ASV100,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,SAR11_clade_unclassified,SAR11_clade_unclassified,Alphaproteobacteria
ASV101,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmata_or,Thermoplasmata_fa,Marine_Group_III,Thermoplasmatota_Marine_Group_III
ASV102,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus_Nitrosopumilus,Crenarchaeota_Nitrososphaeria
