ASVID,C1B1F1,C1B1F2,C1B1F3,C1B2F1,C1B2F2,C1B2F3,C1B3F1,C1B3F2,C1B3F3,C1B4F1,C1B4F2,C1B4F3,C1B5F1,C1B5F2,C1B5F3,C1B6F1,C1B6F2,C1B6F3,C1B7F1,C1B7F2,C1B7F3,C1B8F1,C1B8F2,C1B8F3,C1B9F1,C1B9F2,C1B10F1,C1B10F2,C1B10F3,C1B11F1,C1B11F2,C1B11F3,C1B12F1,C1B12F2,C1B12F3,C2B1F1,C2B1F2,C2B1F3,C2B2F1,C2B2F2,C2B2F3,C2B3F1,C2B3F2,C2B3F3,C2B4F1,C2B4F2,C2B4F3,C2B5F1,C2B5F2,C2B5F3
ASV679,1,8,0,15,0,0,0,3,0,13,32,1,0,0,6,0,0,0,0,0,0,0,18,0,2,0,44,0,0,0,0,0,191,37,0,0,174,0,0,0,0,21,0,56,0,0,0,0,0,0
ASV680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,122,0,59,0,0,0,91,0,0,0,0,0,103,0,0,0,1,0,0,0,0,0,0,113
ASV681,0,0,0,0,0,0,25,2,0,0,0,0,0,0,1,0,0,0,0,96,0,0,0,0,0,10,43,0,0,0,0,24,0,0,0,0,7,26,32,0,46,0,0,0,19,9,0,9,0,41
ASV682,4,5,0,19,0,1,2,8,42,1,3,2,17,4,7,6,20,5,0,0,31,84,17,10,2,54,0,12,8,1,14,2,24,6,0,9,14,2,19,0,9,17,5,5,0,0,0,0,4,21
ASV683,5,53,4,3,0,16,29,14,25,20,0,29,7,0,32,0,0,9,13,1,0,5,0,0,5,48,34,6,3,34,0,0,1,3,0,0,26,14,15,0,0,18,23,0,0,4,0,7,20,0
ASV684,13,0,1,50,15,0,5,26,18,22,0,24,33,7,26,0,0,0,1,0,1,0,13,0,32,0,0,121,9,0,0,0,31,0,1,0,1,0,10,0,19,9,19,24,0,8,2,0,5,0
ASV685,8,0,0,5,54,15,0,1,9,0,4,11,34,1,10,0,7,0,0,0,35,0,30,2,40,16,5,2,32,12,0,0,36,3,0,20,0,18,3,1,0,5,43,15,56,0,0,2,1,13
ASV686,0,0,0,0,0,44,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,88,0,0,0,0,0,1,0,137,0,0,0,0,0,0,0,0,0,0,0
ASV687,22,1,0,0,0,13,2,0,0,40,0,39,27,0,1,0,0,11,3,0,0,0,125,0,0,0,80,1,0,15,1,0,0,0,0,14,0,0,41,0,0,32,41,0,0,6,0,18,0,44
ASV688,1,10,1,1,0,25,6,0,23,1,21,8,0,45,19,0,0,0,6,4,0,1,17,7,11,0,6,0,0,51,41,9,0,50,0,0,23,10,19,0,0,2,0,0,0,4,0,0,0,0
ASV689,0,54,2,0,0,0,0,0,0,0,0,68,10,0,34,0,1,0,14,0,0,0,0,0,71,0,0,149,5,0,0,0,31,0,2,0,0,0,0,3,4,0,2,0,0,0,10,0,0,0
ASV690,1,34,0,0,114,0,6,65,0,14,0,0,1,41,38,0,0,0,0,28,0,0,20,0,32,0,0,66,0,25,19,81,0,0,1,8,0,5,0,1,0,0,0,16,47,0,0,7,0,18
ASV691,0,0,0,0,0,0,0,0,50,0,0,0,0,1,0,0,37,143,0,0,0,184,0,0,0,0,0,0,4,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,19
ASV692,21,0,0,0,4,0,22,1,0,0,3,31,0,8,14,5,0,13,8,39,4,8,0,9,8,138,11,38,0,0,0,0,30,31,0,21,11,30,1,1,0,19,0,0,0,0,6,0,0,52
ASV693,0,0,3,38,0,22,68,0,0,0,23,7,0,12,1,0,0,0,0,0,61,0,0,0,0,0,0,24,33,9,40,0,0,13,1,0,10,0,7,2,29,16,46,0,0,63,0,34,7,19
ASV694,0,0,2,0,0,0,0,0,7,0,0,0,0,0,14,0,0,51,0,11,0,211,20,0,0,0,0,0,81,0,0,0,0,18,2,2,0,39,13,4,46,26,0,23,11,5,0,0,1,50
ASV695,11,2,0,31,0,52,0,0,0,91,2,0,61,30,45,0,0,0,1,141,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,43,0,43,46,0,22,0,0,0,39,1,0
ASV696,13,0,2,79,0,0,2,1,0,0,0,7,0,0,0,0,0,0,14,32,0,0,1,0,0,0,0,0,0,172,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,22,0,33,0,0
ASV697,0,0,8,0,0,0,10,50,0,34,0,30,0,0,0,0,0,9,3,0,0,0,16,0,0,0,0,30,21,0,115,161,0,0,2,0,0,0,0,0,0,19,0,0,22,0,0,0,0,9
ASV698,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,103,67,0,48,152,58,0,35,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0
ASV699,3,0,0,0,0,0,0,3,0,0,91,0,0,0,0,0,0,2,4,0,0,0,0,87,0,0,0,0,0,0,86,114,0,0,0,0,0,37,0,0,0,28,0,0,0,0,8,0,37,0
ASV700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV701,13,0,0,8,8,0,0,12,3,3,6,9,32,0,10,3,6,3,0,3,4,2,1,25,3,52,107,0,18,82,0,79,0,20,0,3,17,6,0,0,0,18,5,17,36,0,0,17,4,24
ASV702,22,7,0,38,0,24,0,0,0,0,69,0,25,0,0,0,0,0,0,0,0,0,0,84,0,0,3,0,0,0,46,0,1,5,0,33,53,0,2,1,0,35,39,23,19,10,3,2,7,0
ASV703,0,0,0,0,4,0,0,0,0,1,1,80,0,0,0,0,0,5,0,0,0,318,63,0,2,6,78,0,23,0,0,10,0,3,0,21,10,2,0,0,0,5,40,0,0,7,2,7,6,0
